Car_Price,Age,Vehicle_Type,Maintenance_Level,Target_Price
23795.0,5.0,motorbike,high,16139.25
8860.0,17.0,truck,medium,1500.0
19284.0,17.0,truck,low,5330.1
14265.0,17.0,truck,high,1500.0
24850.0,2.0,motorbike,medium,22307.74
29962.0,2.0,bus,high,24975.16
24023.0,5.0,bus,low,18390.89
9685.0,1.0,motorbike,low,8436.29
8769.0,1.0,truck,low,8113.91
10433.0,19.0,truck,high,1500.0
13311.0,2.0,bus,high,9304.73
25568.0,12.0,truck,low,12402.86
27769.0,6.0,,high,18733.25
36693.0,4.0,bus,low,28721.18
14396.0,11.0,truck,low,1790.09
35480.0,17.0,bus,medium,21672.09
33658.0,6.0,car,high,22164.18
26942.0,5.0,bus,low,20799.34
26431.0,2.0,bus,low,21014.24
10747.0,6.0,bus,high,5962.71
8189.0,11.0,bus,medium,1500.0
27118.0,16.0,car,medium,13776.11
43773.0,16.0,motorbike,low,26899.23
9899.0,1.0,bus,high,6979.88
9267.0,9.0,bus,medium,1500.0
39551.0,6.0,truck,high,32307.09
,16.0,bus,high,7435.26
11556.0,3.0,truck,low,8336.85
11890.0,4.0,motorbike,medium,6393.16
38740.0,19.0,car,low,21176.73
22502.0,3.0,car,medium,15845.86
29777.0,19.0,motorbike,medium,13173.7
18627.0,7.0,car,medium,9819.27
,9.0,motorbike,medium,11256.92
16433.0,1.0,motorbike,medium,12232.69
,8.0,motorbike,high,10050.98
,7.0,car,low,20924.03
10612.0,18.0,truck,high,1500.0
31483.0,8.0,motorbike,medium,21218.21
25159.0,1.0,bus,low,20710.93
22541.0,11.0,car,medium,11591.87
43920.0,18.0,motorbike,low,24131.08
,10.0,motorbike,high,21079.49
9585.0,3.0,,low,7366.74
11943.0,7.0,truck,low,5767.37
31939.0,16.0,truck,low,18521.49
27457.0,16.0,truck,low,14908.86
9021.0,17.0,motorbike,low,1500.0
19653.0,2.0,,medium,13657.45
21417.0,1.0,motorbike,low,17888.83
17692.0,16.0,car,low,7537.59
14873.0,12.0,bus,high,4770.91
13675.0,5.0,motorbike,low,9134.67
8161.0,5.0,bus,high,3916.18
34557.0,9.0,bus,medium,26032.02
41763.0,9.0,truck,low,29081.87
40606.0,3.0,car,high,34445.4
19534.0,19.0,motorbike,high,4641.38
37127.0,16.0,truck,medium,20916.73
33851.0,16.0,truck,low,19338.14
9016.0,3.0,motorbike,low,6377.29
32253.0,1.0,bus,high,29682.34
32276.0,11.0,truck,low,21313.91
31247.0,17.0,bus,high,16649.87
32300.0,8.0,car,low,25049.21
16529.0,4.0,bus,high,12551.23
25262.0,6.0,car,low,16906.29
17268.0,8.0,bus,medium,11911.76
29271.0,3.0,truck,low,21970.92
20185.0,16.0,truck,low,6583.38
29243.0,3.0,car,medium,21783.77
16571.0,18.0,motorbike,low,1880.98
,14.0,car,medium,1500.0
10027.0,18.0,car,low,1500.0
10695.0,2.0,bus,high,2673.5
13258.0,3.0,bus,high,9066.91
30002.0,16.0,car,low,15124.83
41159.0,9.0,truck,low,30924.39
21986.0,4.0,bus,low,15443.21
20666.0,1.0,motorbike,high,20774.99
11561.0,4.0,bus,low,9522.04
34854.0,1.0,bus,high,28441.03
30662.0,14.0,motorbike,medium,19387.13
16392.0,16.0,car,high,5121.02
38535.0,8.0,motorbike,high,28304.95
21067.0,7.0,car,medium,14910.93
31599.0,3.0,car,high,25140.26
,17.0,car,low,26899.23
19837.0,1.0,motorbike,low,17496.48
22039.0,16.0,car,high,12211.83
38818.0,12.0,truck,low,26172.09
27115.0,19.0,motorbike,high,10967.06
18965.0,14.0,truck,low,4676.4
32538.0,6.0,car,low,26999.26
13056.0,6.0,bus,high,7102.74
40482.0,13.0,car,low,27411.91
16110.0,19.0,truck,high,5152.36
21773.0,8.0,truck,low,14048.45
35266.0,2.0,motorbike,low,28484.09
25412.0,1.0,bus,medium,23129.71
41270.0,15.0,motorbike,medium,26770.61
14910.0,1.0,truck,high,12952.66
33446.0,5.0,car,medium,23144.36
8206.0,16.0,bus,high,1500.0
29518.0,19.0,car,medium,14253.68
30361.0,4.0,car,low,21349.47
31419.0,3.0,bus,high,25633.79
30403.0,17.0,motorbike,high,12548.76
26141.0,17.0,car,low,15532.81
22820.0,12.0,truck,high,10544.22
,14.0,car,high,6235.59
9678.0,6.0,bus,medium,3406.87
41827.0,3.0,bus,high,34593.29
24198.0,9.0,bus,low,13800.11
17914.0,5.0,motorbike,medium,13722.57
35890.0,17.0,car,medium,19953.52
30299.0,14.0,motorbike,low,18055.82
10693.0,3.0,motorbike,low,7311.65
37467.0,1.0,bus,medium,29198.45
37723.0,1.0,bus,high,32220.71
11627.0,3.0,motorbike,medium,7328.09
33939.0,18.0,car,low,19616.12
29834.0,10.0,truck,medium,19005.11
26047.0,3.0,,low,20224.8
34105.0,8.0,car,medium,26713.64
18230.0,14.0,bus,high,10667.96
23707.0,18.0,bus,medium,10530.0
29976.0,15.0,car,medium,16048.89
31776.0,2.0,truck,low,25247.61
38080.0,10.0,bus,low,25139.98
9306.0,2.0,bus,low,5772.24
14776.0,17.0,bus,medium,1949.19
35251.0,8.0,car,high,28109.73
17474.0,1.0,motorbike,low,13957.07
29959.0,9.0,bus,low,18226.07
13530.0,11.0,motorbike,medium,4963.0
37320.0,16.0,truck,low,22389.19
11748.0,7.0,bus,high,5839.25
39968.0,10.0,bus,high,29172.34
40562.0,3.0,truck,low,32781.21
21545.0,18.0,bus,low,8666.34
,13.0,motorbike,medium,1500.0
42766.0,7.0,car,high,34822.19
15994.0,4.0,motorbike,high,11573.62
36021.0,13.0,car,low,23418.18
38303.0,1.0,car,medium,30780.78
11304.0,8.0,motorbike,high,5516.14
25675.0,14.0,motorbike,high,14400.35
31938.0,16.0,motorbike,medium,15792.65
31664.0,14.0,motorbike,medium,16025.76
